temperature,humidity,altitude,time
79.84864807128906,28.354766845703125,3153.255679465828,2023-12-18 21:10:37.765034
80.00912399291992,27.983795166015625,3153.34427334825,2023-12-18 21:10:44.608854
79.9449363708496,27.703880310058594,3153.0711096327395,2023-12-18 21:11:05.426224
80.07331161499023,28.07147979736328,3151.4986160479366,2023-12-18 21:11:12.387481
79.81655426025391,28.304180145263672,3151.7496194443597,2023-12-18 21:11:19.430039
80.04121780395508,28.101831436157227,3152.236866720354,2023-12-18 21:11:26.233310
80.39425659179688,27.49816131591797,3153.410718914415,2023-12-18 21:11:33.198230
80.13749923706054,26.37850570678711,3151.9637120683265,2023-12-18 21:11:39.835256
80.33006896972655,28.49978256225586,3151.461703942955,2023-12-18 21:11:46.545088
80.2337875366211,28.250221252441406,3151.5650579397593,2023-12-18 21:11:53.239236
80.2979751586914,28.273826599121094,3150.627501257181,2023-12-18 21:11:59.966906
80.33006896972655,28.027637481689453,3149.6604428235883,2023-12-18 21:12:06.772800
80.61892013549804,27.92983627319336,3150.1255132293477,2023-12-18 21:12:13.622496
80.42635040283203,27.95344352722168,3149.195378898142,2023-12-18 21:12:20.470175
80.55473251342774,28.233356475830078,3149.37254534374,2023-12-18 21:12:27.229462
80.36216278076172,28.358139038085938,3150.25839167843,2023-12-18 21:12:34.122666
80.52263870239257,27.92983627319336,3149.3873092566537,2023-12-18 21:12:41.007935
80.36216278076172,28.344648361206055,3148.3095607763494,2023-12-18 21:12:47.918715
80.68310775756835,28.101831436157227,3147.6304494706696,2023-12-18 21:12:55.378518
80.58682632446289,29.659908294677734,3147.290898999461,2023-12-18 21:13:02.760170
80.55473251342774,28.159164428710938,3147.881423778299,2023-12-18 21:13:09.769527
80.61892013549804,27.842151641845703,3147.3499510071797,2023-12-18 21:13:16.393441
80.61892013549804,28.04787254333496,3147.8592789105464,2023-12-18 21:13:23.057721
80.55473251342774,28.27045440673828,3147.807607609562,2023-12-18 21:13:29.961217
80.39425659179688,28.00065803527832,3147.44591074258,2023-12-18 21:13:36.644949
80.58682632446289,27.845523834228516,3147.8223708302557,2023-12-18 21:13:43.334564
80.68310775756835,28.064735412597656,3147.851897291214,2023-12-18 21:13:50.262699
80.45844421386718,28.233356475830078,3146.7372915080605,2023-12-18 21:13:57.125646
